order_id,customer_id,product_id,quantity,total_cost,order_date
1,342,1080,2,183.8519022912261,2024-07-12
1,342,1009,4,36.692118044264866,2024-07-12
1,342,1005,5,399.59956913404284,2024-07-12
1,342,1060,3,287.2272765124533,2024-07-12
2,486,1036,1,22.61899516713727,2024-03-27
3,958,1034,1,8.545499713218165,2024-02-23
3,958,1071,4,187.11999113167434,2024-02-23
4,169,1053,4,93.65489013166987,2024-04-03
4,169,1046,5,292.23464346171755,2024-04-03
4,169,1036,2,45.23799033427454,2024-04-03
4,169,1008,1,44.29934245004265,2024-04-03
4,169,1097,1,75.00965146218013,2024-04-03
5,499,1036,5,113.09497583568636,2024-07-26
5,499,1011,2,121.08324579564007,2024-07-26
6,352,1004,1,30.451114756467152,2024-08-01
6,352,1035,4,391.92319305109885,2024-08-01
6,352,1016,4,52.181750235195665,2024-08-01
6,352,1068,1,41.929716274468866,2024-08-01
7,12,1091,3,166.58123908672638,2024-09-28
7,12,1012,3,227.59260448538848,2024-09-28
8,210,1082,4,108.69883478160114,2024-11-12
9,986,1079,1,64.09872754991338,2024-09-29
9,986,1065,2,191.33202869363095,2024-09-29
9,986,1022,5,437.75779408437495,2024-09-29
10,547,1061,2,51.63041302535695,2024-05-21
10,547,1051,2,128.59812430540097,2024-05-21
10,547,1025,2,72.8229694647107,2024-05-21
11,531,1018,4,104.46024882557253,2024-01-18
11,531,1032,4,120.83056664820111,2024-01-18
11,531,1021,2,185.71328143941747,2024-01-18
11,531,1050,3,38.791487278234854,2024-01-18
11,531,1005,5,399.59956913404284,2024-01-18
12,940,1088,3,206.8762780892767,2024-03-23
12,940,1062,4,229.21179049134514,2024-03-23
12,940,1075,2,64.73436481408855,2024-03-23
12,940,1071,5,233.89998891459294,2024-03-23
13,49,1031,2,13.427956791662869,2024-09-04
14,385,1053,4,93.65489013166987,2024-04-03
14,385,1034,5,42.72749856609082,2024-04-03
14,385,1004,4,121.80445902586861,2024-04-03
14,385,1085,3,158.80122873880026,2024-04-03
15,927,1019,2,120.75689875188493,2024-06-11
15,927,1003,4,376.4208193073019,2024-06-11
16,250,1028,1,13.602002009944627,2024-02-27
16,250,1096,4,329.6229406741893,2024-02-27
17,811,1023,3,95.87222051471355,2024-08-17
18,532,1094,1,29.52496514613878,2024-04-11
19,315,1095,1,22.813653307728565,2024-02-18
19,315,1027,3,80.87017563114244,2024-02-18
19,315,1040,2,100.41891415136494,2024-02-18
19,315,1028,4,54.40800803977851,2024-02-18
19,315,1073,3,272.28323432809805,2024-02-18
20,483,1087,1,63.945746146617914,2024-01-17
20,483,1036,3,67.85698550141181,2024-01-17
20,483,1079,4,256.3949101996535,2024-01-17
20,483,1043,2,152.38371087635088,2024-01-17
20,483,1068,2,83.85943254893773,2024-01-17
21,851,1040,1,50.20945707568247,2024-12-14
21,851,1076,2,104.8254741514997,2024-12-14
21,851,1056,5,423.2720681422451,2024-12-14
21,851,1046,1,58.44692869234351,2024-12-14
22,1,1046,4,233.78771476937405,2024-04-18
22,1,1029,4,336.615446884203,2024-04-18
22,1,1090,3,200.279915996211,2024-04-18
23,542,1091,4,222.10831878230186,2024-05-12
23,542,1055,3,178.49574646345104,2024-05-12
23,542,1084,5,65.5373346265731,2024-05-12
23,542,1058,5,120.60862692260761,2024-05-12
23,542,1025,3,109.23445419706604,2024-05-12
24,89,1099,1,6.877707751533688,2024-09-19
24,89,1038,4,214.52795875082228,2024-09-19
25,966,1001,3,289.8703773990519,2024-05-18
25,966,1062,1,57.302947622836285,2024-05-18
25,966,1044,3,127.44499430488835,2024-05-18
26,544,1031,2,13.427956791662869,2024-10-31
26,544,1087,5,319.72873073308955,2024-10-31
26,544,1033,1,38.26659345598489,2024-10-31
26,544,1018,2,52.23012441278627,2024-10-31
27,960,1092,2,89.15761712809324,2024-01-30
27,960,1030,3,241.76618264008926,2024-01-30
27,960,1031,4,26.855913583325737,2024-01-30
27,960,1055,5,297.4929107724184,2024-01-30
27,960,1060,2,191.48485100830217,2024-01-30
28,624,1065,4,382.6640573872619,2024-12-28
28,624,1017,3,89.99173583157078,2024-12-28
28,624,1005,5,399.59956913404284,2024-12-28
28,624,1056,3,253.96324088534706,2024-12-28
29,580,1018,2,52.23012441278627,2024-08-17
29,580,1083,5,474.71460474412265,2024-08-17
30,867,1023,5,159.78703419118926,2024-08-07
30,867,1033,5,191.33296727992445,2024-08-07
31,82,1099,5,34.38853875766844,2024-09-22
31,82,1012,1,75.86420149512949,2024-09-22
32,376,1053,5,117.06861266458733,2024-06-05
32,376,1060,3,287.2272765124533,2024-06-05
32,376,1022,5,437.75779408437495,2024-06-05
32,376,1056,1,84.65441362844902,2024-06-05
33,199,1038,3,160.8959690631167,2024-09-19
33,199,1071,4,187.11999113167434,2024-09-19
33,199,1089,4,311.6458859190868,2024-09-19
34,333,1083,3,284.82876284647364,2024-02-08
34,333,1024,2,98.06211250093389,2024-02-08
34,333,1012,1,75.86420149512949,2024-02-08
35,669,1040,5,251.04728537841237,2024-11-28
35,669,1066,2,22.551801802035254,2024-11-28
35,669,1059,4,82.47612663060654,2024-11-28
35,669,1044,4,169.92665907318448,2024-11-28
35,669,1010,1,55.40411578854824,2024-11-28
36,181,1026,4,71.18774322406358,2024-05-07
36,181,1082,3,81.52412608620085,2024-05-07
37,939,1042,2,78.19845471051048,2024-12-07
37,939,1072,3,266.8169068957816,2024-12-07
38,182,1055,3,178.49574646345104,2024-02-24
38,182,1019,1,60.378449375942466,2024-02-24
38,182,1084,1,13.10746692531462,2024-02-24
38,182,1036,4,90.47598066854908,2024-02-24
39,539,1017,2,59.99449055438052,2024-02-05
39,539,1060,2,191.48485100830217,2024-02-05
39,539,1089,5,389.5573573988585,2024-02-05
39,539,1032,2,60.41528332410056,2024-02-05
40,753,1093,5,91.14444385647099,2024-12-06
41,465,1032,2,60.41528332410056,2024-07-15
41,465,1021,4,371.42656287883494,2024-07-15
41,465,1010,2,110.80823157709648,2024-07-15
41,465,1076,5,262.06368537874926,2024-07-15
42,538,1044,5,212.4083238414806,2024-04-22
42,538,1086,5,69.51340851313046,2024-04-22
42,538,1061,3,77.44561953803543,2024-04-22
43,922,1095,5,114.06826653864283,2024-09-16
43,922,1081,4,291.70732826951183,2024-09-16
43,922,1072,4,355.7558758610421,2024-09-16
43,922,1064,5,292.6664803564884,2024-09-16
44,538,1056,2,169.30882725689804,2024-05-03
45,294,1099,4,27.51083100613475,2024-01-23
46,129,1007,4,200.70509769172185,2024-05-28
46,129,1032,1,30.20764166205028,2024-05-28
47,914,1061,1,25.815206512678476,2024-01-30
47,914,1064,4,234.13318428519074,2024-01-30
47,914,1053,5,117.06861266458733,2024-01-30
48,800,1039,1,22.522912267885427,2024-12-04
48,800,1016,1,13.045437558798916,2024-12-04
48,800,1063,2,153.051976026493,2024-12-04
48,800,1032,3,90.62292498615084,2024-12-04
48,800,1097,2,150.01930292436026,2024-12-04
49,539,1040,2,100.41891415136494,2024-11-23
49,539,1081,1,72.92683206737796,2024-11-23
49,539,1058,2,48.243450769043044,2024-11-23
50,109,1018,4,104.46024882557253,2024-02-01
51,693,1002,3,247.8677051830765,2024-01-08
51,693,1062,1,57.302947622836285,2024-01-08
51,693,1064,2,117.06659214259537,2024-01-08
51,693,1091,4,222.10831878230186,2024-01-08
51,693,1065,5,478.33007173407736,2024-01-08
